CountryId,CountryName,CountryAbbr,FlagUrl,ApiBaseballCountryName
1,USA,US,https://media.api-sports.io/flags/us.svg,USA
2,Japan,JP,https://media.api-sports.io/flags/jp.svg,Japan
3,South-Korea,KR,https://media.api-sports.io/flags/kr.svg,South-Korea
4,Australia,AS,https://media.api-sports.io/flags/as.svg,Australia
5,Austria,AT,https://media.api-sports.io/flags/at.svg,Austria
6,Colombia,CO,https://media.api-sports.io/flags/co.svg,Colombia
7,Cuba,CU,https://media.api-sports.io/flags/cu.svg,Cuba
8,Czech-Republic,CZ,https://media.api-sports.io/flags/cz.svg,Czech-Republic
9,Dominican-Republic,DO,https://media.api-sports.io/flags/do.svg,Dominican-Republic
10,Finland,FI,https://media.api-sports.io/flags/fi.svg,Finland
11,France,FR,https://media.api-sports.io/flags/fr.svg,France
12,Germany,DE,https://media.api-sports.io/flags/de.svg,Germany
13,Italy,IT,https://media.api-sports.io/flags/it.svg,Italy
14,Lithuania,LT,https://media.api-sports.io/flags/lt.svg,Lithuania
15,Mexico,MX,https://media.api-sports.io/flags/mx.svg,Mexico
16,Netherlands,NL,https://media.api-sports.io/flags/nl.svg,Netherlands
17,Norway,NO,https://media.api-sports.io/flags/no.svg,Norway
18,Puerto-Rico,PR,https://media.api-sports.io/flags/pr.svg,Puerto-Rico
19,Spain,ES,https://media.api-sports.io/flags/es.svg,Spain
20,Sweden,SE,https://media.api-sports.io/flags/se.svg,Sweden
21,Switzerland,CH,https://media.api-sports.io/flags/ch.svg,Switzerland
22,Taiwan,TW,https://media.api-sports.io/flags/tw.svg,Taiwan
23,United-Kingdom,GB,https://media.api-sports.io/flags/gb.svg,United-Kingdom
24,Venezuela,VE,https://media.api-sports.io/flags/ve.svg,Venezuela
